course_link,course_name,Description_1,Description_2
https://in.udacity.com/course/machine-learning--ud262,Android Interview Prep,NA,"In this program, you’ll analyze real data and build financial models for trading. Whether you want to pursue a new job in finance, launch yourself on the path to a quant trading career, or master the latest AI applications in quantitative finance, this program offers you the opportunity to master valuable data and AI skills."
https://in.udacity.com/course/c-for-programmers--ud210,Intro to Data Analysis,NA,C++ for Programmers is designed for students who are familiar with a programming language and wish to learn C++.
https://in.udacity.com/course/front-end-interview-prep--ud250,Android Basics: User Input,NA,"This course takes you through a mock interview, and offers detailed analysis on how to field key industry questions. Your will review common Front-End Web Developer interview topics ranging from palindrome functions to closures, and learn best practices for behavioral questions and whiteboard problems. Upon completing this course, you’ll be ready to successfully showcase your skills during a Front-End Web Developer interview!"
https://in.udacity.com/course/machine-learning-for-trading--ud501,How to Build a Startup,Confidently take on the tech interview,"This course introduces students to the real world challenges of implementing machine learning based trading strategies including the algorithmic steps from information gathering to market orders. The focus is on how to apply probabilistic machine learning approaches to trading decisions. We consider statistical approaches like linear regression, KNN and regression trees and how to apply them to actual stock trading situations."
https://in.udacity.com/course/intro-to-algorithms--cs215,VR Interview Prep,NA,"Ever played the Kevin Bacon game? This class will show you how it works by giving you an introduction to the design and analysis of algorithms, enabling you to discover how individuals are connected."
https://in.udacity.com/course/android-basics-data-storage--ud845,VR Interview Prep,NA,"Want to learn Android programming basics, but don’t know where to start? In this Nanodegree program, we’ll show you the way. We developed this curriculum with Google for true beginners interested in developing apps for the next billion Android users!"
https://in.udacity.com/course/ux-design-for-mobile-developers--ud849,Intro to Statistics,NA,This course is optimized for the developer who is looking to efficiently learn the most important design techniques that will help them make better apps (with a focus on mobile/Android).
https://in.udacity.com/course/intro-to-inferential-statistics--ud201,Optimize Your GitHub,NA,"In this program, you’ll master the skills you need to establish a successful data science career. Our curriculum was developed with leading industry partners to ensure students master the most cutting-edge skills. Demand for qualified employees with advanced data skills has never been higher, and graduates will emerge fully job-ready."
https://in.udacity.com/course/android-basics-networking--ud843,Optimize Your GitHub,NA,"Want to learn Android programming basics, but don’t know where to start? In this Nanodegree program, we’ll show you the way. We developed this curriculum with Google for true beginners interested in developing apps for the next billion Android users!"
https://in.udacity.com/course/object-oriented-programming-in-java--ud283,Intro to Data Science,NA,"This course will introduce you to some of the most powerful programming concepts in Java, including: objects, inheritance and collections. You will learn how to use these object-oriented programming concepts in code examples, discover how these concepts are used in applications that require user input, and understand the benefits of mastering these concepts in Java."
https://in.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011,Advanced Android App Development,NA,"Learn the essentials of the Kotlin programming language from Kotlin experts at Google. Kotlin is a modern and concise JVM language that supports functional programming paradigms. Whether you’re a Java developer or a programmer in another object-oriented language, this course will teach you the essential language features that has made Kotlin so popular with developers. By the end of this course, you’ll gain the skills you need to build your next project in Kotlin."
https://in.udacity.com/course/data-analysis-with-r--ud651,Data Science Interview Prep,Confidently take on the tech interview,"In this program, you’ll master the skills you need to establish a successful data science career. Our curriculum was developed with leading industry partners to ensure students master the most cutting-edge skills. Demand for qualified employees with advanced data skills has never been higher, and graduates will emerge fully job-ready."
https://in.udacity.com/course/product-design--ud509,Android Basics: Multiscreen Apps,NA,"There is nothing more powerful than an idea whose time has come. This course is designed to help you materialize your game-changing idea and transform it into a product that you can build a business around. Product Design blends theory and practice to teach you product validation, UI/UX practices, Google’s Design Sprint and the process for setting and tracking actionable metrics."
https://in.udacity.com/course/computer-networking--ud436,Full-Stack Interview Prep,NA,"In this program, you’ll prepare for a job as a Full Stack Web Developer, and learn to create complex server-side web applications that use powerful relational databases to persistently store data. You’ll build applications that can support any front end, and scale to support hundreds of thousands of users."
